	Content	Sentiment
48	Thuê tủ để đồ hơi đắt, 30k/ ngăn mà bé xíu	0
49	Không thấy có gì đặc sắc hơn dịch vụ tương tự ở các nơi khác	0
50	Dịch vụ và các hoạt động thì ở đây gần như là không có 	0
51	Chợ rất đông, bạn hãy cẩn thận với tài sản và đồ đạc của mình khi đi trong chợ	0
52	Tất nhiên được trải nghiệm cảnh quan hiếm có này là đièu thú vị, nhưng nếu không có nhiều hoạt động thú vị cho du lịch thì có lẽ ít người quay lại đây.	0
53	Đường vào hơi khó đi, đường đất gồ ghề, nhỏ	0
54	Cách tổ chức nặng về thương mại, ít tính trình diễn, tham quan	0
55	Giá cũng không mềm mại cho lắm nên không hấp dẫn	0
56	Đường lên Vườn Ba Vì khá khó đi và nguy hiểm, có nhiều đoạn dốc	0
57	Giá vé đi tàu ra vịnh khá đắt	0
58	Thời tiết - nắng oi bức, mưa dầm...	0
59	Chưa có nhiều hoạt động buổi tối hay	0
60	Buổi trưa hoặc chiều rất nắng	0
61	Giao thông công cộng tới các điểm du lịch tại Thái Nguyên chưa thực sự nhiều lựa chọn. Các bạn có thể Bus chạy theo tuyến cố định (tuy nhiên sẽ hơi mất thời gian và ko được chủ động). Tốt nhất là sử dụng phương tiện cá nhân hoặc đi theo đoàn có xe chủ động	0
62	Các shops ở mấy tầng trên thì cũng được nhưng không có gì đặc biệt lắm.	0
63	Vé thắng cảnh đắt so với người Việt	0
64	Cũng không có gì thực sự không thích	0
65	Chưa có đường bay thẳng từ Việt nam tới Bali	0
66	Nên mang quần áo mỏng, thích hợp với mùa hè	0
67	Khí hậu nóng quanh năm	0
68	À món chè và sinh tố ở đây hơi ngọt bạn nhé. 	0
69	Không đẹp, phải đi vòng vèo.	0
70	Còn thiếu những trò chơi cảm giác mạnh	0
71	Đa số các nhà chỉ được dựng lên, bên trong không có gì nhiều để tham quan.	0
72	Bán lẻ chèo kéo.	0
73	Ít các dịch vụ chơi đêm ven biển	0
74	Đạp xe dưới nắng nóng buổi trưa quả là một cực hình.	0
75	Leo rất mệt, không có gì nhiều để xem cả, chỉ là một hang động bé	0
76	Không có nhiều nơi mua sắm sang trọng. Nhiều khu vui chơi còn sơ sài. 	0
77	"Trời Đà Lạt mà mưa thì đúng là buồn hiu hắt. 
                                              
                                              "	0
78	Có một chút góp ý là nên bố trí thêm nhiều thùng rác trên đường đi, tốt hơn cho cảnh quan. 	0
79	 Khá xa thị trấn	0
80	Các địa điểm du lịch cách xa nhau.	0
81	Giá cả có vẻ hơi “chát” với sinh viên. Nhân viên thì thấy mấy cô trông chẳng niềm nở, dễ gần gì cả, mà chắc tại đông khách nên họ dễ cáu, mặt lạnh…	0
82	Một số hàng quán còn chưa đảm bảo vệ sinh. 	0
83	Nếu như có 1 điều gì đó không thích ở nơi này - có lẽ chỉ là vì nắng quá mà thôi và đồ ăn như mọi tỉnh ở khu vực phía nam, đều hơi bị ngọt. 	0
84	Là 1 hòn đảo mới đi vào hoạt động du lịch nên các dịch vụ ở đây còn hạn chế, chưa có các dịch vụ xông hơi, matxa, spa, các khu vu chơi giải trí. Hệ thống điện ở đây nên được nâng cấp để có thể hoạt động tốt hơn vì còn hay bị mất điện (mặc dù các nhà hàng đều có máy phát)	0
85	Nothing.	0
86	Không thật ấn tượng	0
87	Hiện tại dịch vụ tại Cô Tô khá đơn giản, ngoài tắm biển, ngắm cảnh thì các loại hình giải trí khác chưa phát triển. Thêm nữa với những bạn bị say sóng thì quãng thời gian gần 2 giờ đồng hồ lênh đênh trên biển hẳn không dễ chịu chút nào.	0
88	Đừng quá trông đợi dịch vụ nếu đi đến Côn Đảo, đừng là du khách - hãy sống như người dân đảo. 	0
89	Đường lên Sa Pa gập ghềnh hiểm trở, nó giống như cái hàng rào mà người khách du lịch phải vượt qua thì mới đến được với mảnh đất diệu kỳ thơ mộng ấy.	0
90	Không thấy có gì khác biệt nhiều lắm so với các chùa, đền khác	0
91	"- Có lẽ vì Bình Ba còn hoang sơ, các dịch vụ, phương tiện đi lại còn chưa được tiện nghi nên chỉ phù hợp với người trẻ và có sức khoẻ tốt. Trên đảo rất rất ít khách sạn, hầu hết là ở homestay.
                                    - Bãi biển Bình Ba rất đẹp. Bãi Nồm biển xanh, cát trắng nhưng có nhiều rác do người dân và khách du lịch xả ra, chưa có các thùng rác đặt gần bãi biển."	0
92	Chợ rất đông nên không tránh khỏi những người xấu. Bạn hãy cẩn thận với tài sản và đồ đạc của mình khi đi trong chợ nhé	0
93	Chi phí vào các khi Lăng mộ 	0
94	Lý Sơn chưa xây dựng hoàn thiện hệ thống xử lý rác thải, cũng chưa có thùng rác công cộng, ý thức bảo vệ môi trường nhìn chung còn kém (cũng giống như phần đông người dân Việt Nam các vùng khác), hi vọng các bạn tới Lý Sơn hạn chế xả rác bừa bãi hoặc vứt rác xuống biển gây ô nhiễm.	0
95	Phòng standard quá nhỏ. Phòng tắm chật. Buổi tối hơi ồn	0
96	Không có điều hòa ấm, mùa đông siêu lạnh; đồ dùng, trang thiết bị cũ.	0
97	Nói về Phở Hà Nội thì còn nhiều, có hàng mới, hàng cũ, hàng đã đi vào dĩ vàng. Mới và hào nhoáng mát lạnh có Phở 24. Đôi lúc dối lòng thì cũng tạm khen là được....	0
98	Các khu du lịch và nghỉ dưỡng rất đông người	0
99	Chính quyền sở tại chưa quan tâm trong vấn đề phát triển chung của du lịch tuyến đảo, chưa biết quảng bá giới thiệu đến khách hàng những cảnh quan mà thiên nhiên ưu đãi cho khu này, chưa có biển chỉ dẫn, chưa có sách hướng dẫn thăm quan...	0
100	"- Đảo rất hoang sơ nên ở những khách sạn bình dân, dịch vụ tiện ích rất kém : wifi 1 vạch, tivi chỉ có duy nhất kênh VTV1,...
                  - Rất ít đèn đường, đến đêm là tối om, thật tiếc cho những ai thích đi dạo biển , mua đồ lưu niệm.
                  - 1 số đoạn dốc bị lở cát, xe túc túc đi lên đó như đang chơi trò mạo hiểm thót tim."	0
101	Mình không hề có ý định sẽ quay lại đây một lần nào nữa.	0
102	Không có resort chất lượng cao	0
103	Thời thiết khá nắng nóng	0
104	Đến mùa mưa thì mưa hơi nhiều	0
105	Biển không đẹp lắm. 	0
106	Biển chưa đẹp lắm	0
107	Tiện nghi phòng cũ kỹ.	0
108	View ra biển không được nhiều lắm, ăn sáng chưa ngon.	0
109	Điểm không thích là phải di chuyển từ TP Hồ Chí Minh bằng oto mất khoảng 1,5-2 giờ. Không nhiều đồ lưu niệm. Ít địa điểm để du khách có thể khám phá những điểm mới lạ, lịch sử.	0
110	Thang máy nhỏ, cũ, hành lang hơi thiếu sáng. 	0
111	Chưa xứng tầm resort	0
112	Cách bài trí sắp xếp không được thân thiện và đẹp lắm, đi xem hơi lòng vòng	0
113	 Hơi biệt lập, ít nhà hàng quanh Resort	0
114	Chỉ để chụp ảnh cưới thui các bạn ạ.	0
115	Đi máy bay ATR từ tp HCM ra Phú Quốc hôm nào gió mạnh cũng hơi sợ	0
116	Trên đường lên động khô có rất nhiều sâu và những con linh tinh	0
117	Dịch vụ chưa tốt. Nội thất chưa đẹp	0
118	Phòng hơi cũ	0
119	Phòng ở không rộng rãi 	0
120	30 ngàn một dĩa bánh cuốn nhỏ quá. 	0
121	Góc nhìn không đẹp bằng Khao Phra Tamnak.	0
122	Không có bể bơi	0
123	Phòng hơi nhỏ, dịch vụ wifi còn yếu	0
124	Giá hơi cao	0
125	Hơi nóng	0
126	 Thiết bị cũ	0
127	Đương đèo này rất nguy hiểm	0
128	Trong khu Thung Nham có phòng cho thuê nhưng giá khá đắt. 	0
129	 Có phần kính từ nhà tắm nhìn ra phòng ngủ là chưa ổn lắm, thiếu tính riêng tư khi vệ sinh tắm rửa.	0
130	 Không có view ra biển.	0
131	Món bún hải sản hơi mặn, tôm và bề bề không được tươi ngon.	0
132	Thi thoảng vẫn còn thấy người bán hàng rong chèo kéo khách.	0
133	Do khách đông nên phục vụ không được chu đáo.	0
134	Giá khá đắt	0
135	Chỗ để xe không tiện.	0
136	Đồ ăn để lộ thiên, ko được che đậy	0
137	Đồ uống quá bình thường, giá cao	0
138	Chất lượng món ăn không có gì đặc biệt; giá cũng chẳng rẻ.	0
139	Phục vụ hơi chậm và thiếu chuyên nghiệp	0
140	Đông người nên cần phải để ý túi xách, ba lô cần thận vì rất dễ có thể bị mất trộm. 	0
141	Không gian nhếch nhác, các pho tượng không được lau rửa sạch sẽ....	0
142	Nói chung trải nghiệm chưa đặc sắc	0
143	Chờ lâu, thái độ phục vụ chưa tốt, không gian quá tối và hẹp.	0
144	Ăn vào buổi trưa hè hơi nóng quá. 	0
145	"- Nền nhà tắm trơn, bạn bé bị ngã 1 phát khá là đau.
              - Nhà mình đi vào dịp nghỉ lễ nên dịch vụ giặt ủi cũng nghỉ lễ theo, đành phải mang 1 balo quần áo bẩn về nhà mới giặt được."	0
146	Không có	0
147	Từ khách sạn ra bờ biển khoảng 200 -300m tôi thấy như vậy là xa	0
148	Khu chợ đêm hơi nhỏ. Giá taxi cao. 	0
149	  Đường đi phải leo trèo nhiều nên khá mệt.	0
150	Đồ ăn và mọi thứ mặt hàng bán hơi đắt , xe ôm cũng đắt	0
151	 Không có bể bơi	0
152	Ăn sáng còn đơn sơ không ngon lắm.	0
153	Vị trí hơi xa trung tâm	0
154	Buổi tối muốn tìm hoạt động gì đó khá khó	0
155	Xa biển và xa trung tâm	0
156	"Gần khu rừng thông Bản Áng có nhiều nhà sàn để trọ nhưng không có quán ăn. Phải thuê xe ra trung tâm tầm 3km. 
                                              
                                              Vì Mộc Châu là chặng giữa nên nếu đi bằng xe khách thì có thể sẽ phải chờ đợi ở bến xe do giờ giấc các xe thường rất dây thun.
                                              
                                              "	0
157	Giá hơi cao hơn so với bình dân một chút.	0
158	Bãi biển không đẹp.	0
159	Buổi tối tôi thấy thường đóng cửa sớm.	0
160	Dịch vụ vẫn chưa phát triển lắm	0
161	Chiều nào cũng mưa tầm tã; 1 vài hàng bánh ở Chợ Đêm còn có tình trạng ép giá khách.	0
162	Dịch vụ chưa tốt như ở Đà nẵng, chưa phát triển mạnh được về du lịch văn hóa vùng miền. Nếu khắc phục được 1 số hạn chế này thì du lịch tại Huế sẽ rất phát triển.	0
163	Giá hơi cao: xôi thập cẩm 50k, xôi gà 40k; chỗ để xe hơi chật 	0
164	Giá cả đắt đỏ	0
165	Buổi đêm hơi buồn, nhiều muỗi vào mùa mưa, hay mưa nhiều vào tháng 6.7 thường tháng hè, nên dẫn theo trẻ con là điều khá khó , giá vé máy bay bay ra còn cao 	0
166	Dịch vụ du lịch chưa tốt , vấn nạn cò kéo khách vẫn tồn tại nhiều	0
167	 Để tới được thác phải đi qua một quãng đường tương đối dài	0
168	Ko còn nét hoang sơ của bản Cát cát. Chỉ thấy hàng quán, hàng quán và hàng quán. Không khí bị du lịch hóa, các cháu bán hàng vẫn đeo bám mời chào mua hàng	0
169	Các chỉ dẫn ở đây chưa tốt nên khách hay phải hỏi đường đi.	0
170	Ở đây rất ít chỗ vui chơi và hầu hết tất cả mọi người đi ngủ rất sớm nên từ khoảng 9h là đường phố đã vắng bóng người rồi.	0
171	Với những người không biết nhiều tên các ngôi sao thì thật khó để biết đó là dấu tay của ai.	0
172	không.	0
173	 Đi vào ban ngày trời rất nắng.	0
174	Mỗi điểm chúng tôi đến đều có người dân ở đó xin thêm tiền, gây cảm giác khó chịu cho du khách	0
175	Cơ sở hạ tầng ở đây quả là quá tệ hại	0
176	Mua sắm ở các quầy hàng phải mặc cả, nếu không sẽ bị nói thách giá khá cao. Ngoài ra vẫn còn nạn chèo kéo khách ở một số điểm du lịch (Vd: Đền Besakih,..)	0
177	Đi xe Tuk Tuk phải biết mặc cả, nếu không sẽ bị đắt hơn cả taxi. Tài xế xe tuk tuk và taxi đi nhanh và tổ lái lắm ! Hơi sợ! Bangkok chiều đến là tắc đường khủng khiếp!	0
178	Các suối và đường lên còn nhiều rác	0
179	Nhân viên không hề biết nở nụ cười chào đón khách, không phải một ks 4sao chỉ 2-3sao thôi	0
180	Nước không trong, cát xám đen đen.  Buổi chiều tối khi triều lên thì bãi biển gần biến mất. Nếu đến Hua Hin vì bãi biển thì chắc sẽ thất vọng	0
181	Cảnh cũng không quá đẹp	0
182	"- Nếu vào nhà hàng, quán ăn đã niêm yết thì bạn hãy cứ yên tâm thưởng thức, còn nếu ăn ở các quán vỉa hè bạn nên hỏi giá trước. 
                   - Bạn cần cẩn thận với điện thoại, máy ảnh hay đồ dùng cá nhân khi đi trên vỉa hè nếu sơ ý ở nơi đông người bạn dễ bị các đối tượng để ý đấy.
                   - Giao thông Hà Nội hơi lộn xộn và đông đúc, bạn nên cẩn thận khi sang đường.
                    - Nếu cần phải ở lại khách sạn nhà nghỉ bạn nên đặt phòng trước và tránh những Khách sạn, nhà nghỉ bên khu đường Hồng Hà và khu Gia Lâm nhé."	0
183	Nhiều trẻ con đi theo xin tiền, xin bánh kẹo	0
184	Không cách âm tốt, không có bể bơi.	0
185	 Show không được như quảng cáo về độ hoành tráng, so với giá 30-40 USD thì đắt	0
186	"Bụi bặm, tắc đường, nóng bức (mùa hè). Thái độ phục vụ, dịch vụ nói chung chưa ổn, có lẽ nó là đặc tính vùng miền, là tính cách - nhưng cứ đi mua, đi ăn mà gặp mấy bộ mặt lạnh như đít bom là đôi khi thấy tình yêu HN giảm đi kha khá :D
                  
                  "	0
187	Tôi không thấy đặc sắc lắm. Có nhiều cửa hàng nhưng sản phẩm của hàng nào cũng tương tự nhau	0
188	Hầu hết khách là người nước ngoài, tuy nhiên chỉ có phần giới thiệu là bằng tiếng Anh và một vài ngôn ngữ khác được thu sẵn, toàn bộ vở diễn sau đó, lời thoại đều bằng tiếng Việt.	0
189	"- Một số người bán hàng ( chỉ một số thôi ) rất đeo bám khách du lịch. Gây khó chịu, phiền phức
                                              - Theo một số người bạn tôi nói, họ còn gặp trẻ em ăn xin..nhưng chuyến đi của tôi thì không bắt gặp
                                              "	0
190	Hét giá trên trời, nếu không dám mặc cả thì phải mua với giá đội gấp đôi mất	0
191	Điều du khách cần lưu ý khi đến Huế đó là nên biết mặc cả một chút, những người bán hàng hay chở xích lô rất thân thiện và tận tình tuy nhiên họ cũng thường ra giá cao. Và đừng nổi nóng nếu có chiếc xích lô nào đó cứ theo du khách và mời đi xích lô, hãy lịch sự từ chối nhã nhặn với họ, họ sẽ luôn có mặt nếu du khách cần.	0
192	Đi Tam Cốc vẫn còn có cảnh đánh bắt cá trên suối, giá tham quan cao. Đi chùa Bái Đính thì quả là kinh hoàng về sự hoành tráng. Nó phá vỡ hoàn toàn kiến trúc vốn có sẵn ở Ninh Bình	0
193	Mới tạo dựng nên không có nét cổ kính	0
194	Vị trí không thuận tiện cho khách nước ngoài vì nó chẳng gần khu du lịch nghỉ dưỡng nào	0
195	 Quy hoạch tản mát, không biết đi tham quan như thế nào	0
196	Không còn nguyên sơ như các bản làng trên khu vực Tây Bắc	0
197	Ồn ào chật chội, bị làm phiền bởi rất nhiều nhân viên quán bar chạy ra mời chào	0
198	Giao thông đông đúc, tắc đường là điều không tránh khỏi ở Bangkok	0
199	Giá phòng 2,5M cho 1 phòng 3 người, 4 người là 3.2M là một cái giá tương đối là trên trời	0
200	Đồ đạc cũ, sàn nhà rất bẩn.	0
201	Giá vé khá đắt	0
202	- Không có nhiều điểm vui chơi giải trí nên khá buồn.	0
203	Nhân viên phục vụ không nhiệt tình; với cái giá 40k với 50k một bát thì mình cho là đắt và không đáng.	0
204	Thời gian tham quan trên đảo ít, phòng trưng bày đơn giản quá. Chỗ tắm rửa thay quần áo sau khi xem san hô về thì bẩn quá	0
205	 Phục vụ không thân thiện cho lắm 	0
206	Di chuyển lâu và xa. Phụ thuộc vào thời tiết.	0
207	Dịch vụ ở Mẫu Sơn chưa phát triển nếu ko muốn nói là tồi	0
208	Nhân viên không nhiệt tình cho lắm. 	0
209	Còn cảnh chặt chém khách du lịch :)	0
210	Quanh villa cũng không có hàng quán. Muốn đi ăn, đi ra biển hay vào phố cổ thì phải đi xe. 	0
211	Vào giờ sáng hơi đông	0
212	 Nếu bảo Emeralda đã thật sự là khu nghỉ dưỡng xứng tầm quốc tế và 5 sao chưa thì mình vẫn thấy lăn tăn. Tầm 4 sao đổ lại thì được vì một số thiếu hụt về dịch vụ vui chơi, giải trí tại chỗ	0
213	Biển khó tắm vì nước nhìn lúc nào cũng đục	0
214	Phòng ở và dịch vụ ok nhưng mình nghĩ không đạt chuẩn khách sạn 4*	0
215	Nhân viên không được đào tạo chuyên sâu về kỹ năng chăm sóc khách hàng, có thái độ không mấy tích cực chào đón khách	0
216	Sẽ vất vả cho bạn nào chọn đi lên đây bằng ô tô nhưng bị say xe	0
217	Cổng và lối vào khá nhỏ, không để ý sẽ dễ dàng bỏ qua	0
218	Không có gì đặc sắc.	0
219	Kiến trúc không thực sự bắt mắt.	0
220	Khách sạn nằm trên trục đường highway 6, cách trung tâm Siem Reap khoảng 2km. Vì vậy muốn vào phố đi bộ pub street, khu chợ đêm thì phải đi xe tuktuk.	0
221	"Cái gì cũng ""hoàn hảo"" mỗi tội cái túi xèng nó chả hoàn hảo chút nào. Giá cắt cổ đấy các bác ạ (cơ mà cũng xứng đáng, em nói vậy cho oai thôi chứ chả qua em đc mời nên em mới to còi thế, ko thì thăm quan thôi em cũng chả vào ý chứ). "	0
222	Sau 9h tối xe máy được đi vào phố cổ	0
223	Bậc thang lên các tầng hẹp và dốc nên phụ nữ có vẻ hơi sợ khi đi xuống.	0
224	Ít điểm vui chơi giải trí hiện đại (cái Indochina Plaza hơi nhỏ)	0
225	Chợ đêm nhưng không bán suốt đêm, tầm 22h30 là dẹp hàng rồi. Cung cách phục vụ của nhiều tài xế taxi không tốt, khách đi gần là tỏ thái độ khó chịu. Ăn uống các gánh hàng rong ngoài chợ đêm hay bị trật tự đô thị đuổi.	0
226	Nhà nước cần quan tâm hơn cho giao thông và cuộc sống của những người dân nơi đây. Các bạn, những ai đọc được chia sẻ này xin hãy dùng tiếng nói của mình trong khả năng có thể để giúp Hà Giang là điểm đến tuyệt vời cho tất cả chúng ta, những con người yêu thiên nhiên, yêu du lịch.	0
227	Đồ hơi cũ, bể bơi không rộng lắm 	0
228	Nhiều chỗ leo trèo khá nguy hiểm cho trẻ em, không có nhiều khu vệ sinh công cộng	0
229	Cơm hơi cứng, rời rạc (hay là kiểu của cơm như vậy), màu sắc nhạt, không kích thích vị giác, gà chiên hơi ngấy	0
230	Thời tiết thường luôn nắng nóng	0
231	Ở Nam Du không có nhiều hoạt động vui chơi giải trí.	0
232	Chợ không rộng mấy, vì là làng gốm nên trong chợ chỉ toàn đồ gốm thôi, chả có gì khác	0
233	Hơi xa trung tâm, phải đi taxi	0
234	Chất lượng dịch vụ ngủ nghỉ chưa được tốt, điểm vui chơi còn ít	0
235	Không có điểm nào để chê	0
236	Vào ban đêm, hàng chục quán bar và câu lạc bộ thoát y thu hút đám đông người lớn.	0
237	Khu này an ninh hơi ngặt nghèo chút, bạn nghé thăm ng quen ở trỏng sẽ phải xuất trình cmtnd, rồi đợi bảo vệ gọi đt vào xác nhận với ng quen của bạn, đc ng quen đồng ý thì sẽ đc ngồi xe điện và họ đưa vô tận cửa nhà nhé (hơi mất time một xíu à) 	0
238	Không có	0
239	Hạ Long bị du lịch hóa quá; ngoài thiên nhiên thì thiếu các hoạt động  giải trí	0
240	Khách sạn phòng rất bẩn. Service kém. Mình ở vừa rồi khách sạn k có dép đi trong nhà, k có khăn mặt cho khách. 3 ngày nghỉ khách sạn k đổ rác	0
241	Đắt đỏ	0
242	Cabin đẹp nhưng hơi nhỏ	0
243	Chưa đa dạng	0
244	Đường sá còn nhiều nơi đường xấu. Ít điểm vui chơi giải trí, chủ yếu tham quan nghỉ dưỡng. Đi máy bay bất tiện khi mua nước mắm và hải sản mang về.	0
245	Đã bắt đầu ô nhiễm, quy hoạch lộn xộn	0
246	Trời hơi nắng nóng nếu các bạn đi vào mùa hè, tiếng địa phương hơi nặng khó nghe chút	0
247	Chưa nhiều hoạt động ngoài tắm biển.	0
248	Thiếu nước ngọt.	0
249	Ngược đường ra sân bay Cam Ranh nên không tiện bằng khu Trăm Trứng	0
250	Chưa nhiều hoạt động vào buổi tối. 	0
251	Mọi người lên có kế hoạch rõ ràng những hoạt động , những nơi sẽ và tìm hiểu từ trước như vậy sẽ có một chuyến đi thuận lợi hơn.	0
252	Xây dựng không hợp lý, nặng nề, tối. Bể bơi không đẹp.	0
253	Không có gì phàn nàn	0
254	Xe xích lo đưa đến điểm để kiếm tiền hoa hồng, nói xấu lẫn nhau để đưa đến điểm của mình. 	0
255	Cẩn thân khi đi chợ đêm, có thể bị giọng ngọt lùi của họ làm cho thất vọng :D	0
256	Mưa nhiều	0
257	Tôi thấy bãi tắm ở đây không đẹp lắm	0
258	Không có gì đặc biệt lắm	0
259	Có 1 hang động để vào khám phá tuy nhiên bẩn lắm, ko có gì đặc biệt, ko đẹp bằng nhiều hang động của các khu du lịch khác	0
260	"Nước dùng thì chỉ thấy vị mặn , không vị gì khác.
Giá cho 2 bát bề bề bún là 90k, không quá đắt nhưng chất lượng phải nói là quá tệ. Bát bún tệ nhất em từng ăn. Mong mọi người cảnh giác bản thân và bạn bè."	0
261	"Nước dùng thì chỉ thấy vị mặn , không vị gì khác.
Giá cho 2 bát bề bề bún là 90k, không quá đắt nhưng chất lượng phải nói là quá tệ. Bát bún tệ nhất em từng ăn. Mong mọi người cảnh giác bản thân và bạn bè."	0
262	"Nước dùng thì chỉ thấy vị mặn , không vị gì khác.
Giá cho 2 bát bề bề bún là 90k, không quá đắt nhưng chất lượng phải nói là quá tệ. Bát bún tệ nhất em từng ăn. Mong mọi người cảnh giác bản thân và bạn bè."	0
263	Đường lên chùa hai bên cầu thang các hộ gia đình nuôi gà - chúng phóng uế mùi thật khó chịu 	0
264	Người già yếu không nên đi.	0
265	 Trên đò không có áo phao. 	0
266	Sự đeo bám cũng như vài trò lừa gạt của nhiều người bán hàng, cò đò	0
267	Giá cả khá đắt, bị chặt chém nhiều, thái độ nhân viên, người bán hàng rất khó chịu	0
268	Trâu thả lung tung nên thỉnh thoảng gặp hậu quả của chúng nó sau khi đi vệ sinh trông khá mất mỹ quan.	0
269	Quán ở trong nhà nên hơi bí, mặc dù có máy hút khói nhưng vấn hơi ngột ngạt.	0
270	Mùa mưa, mùa đông trời nhiều mây không có năng ra Vịnh không đẹp.	0
271	Hong Kong có điểm nào mà làm mình không hài lòng? Câu trả lời là không vì cá nhân mình đánh giá đây là một đất nước, một điểm đến không thể chê vào đâu được.	0
272	Giá cả tương đối đắt so với mặt bằng chung các nhà hàng cùng loại ở Mũi Né. 	0
273	Với mình Phú Quốc không có điểm gì làm mình không thích.	0
274	Món xôi trắng hơi chán.	0
275	"Khách du lịch xả rác, phát kẹo, cho tiền trẻ em bừa bãi, làm hư dân bản địa. Mang theo các thói xấu của đồng bằng lên rất nhiều. Nếu ồ ạt du khách đi kiểu tour và ""phượt phong trào"" thì sự tĩnh lặng của thiên nhiên nơi này sẽ bị phá hoại bằng sạch"	0
276	Không đẹp. Đi tắm phải băng qua đường.	0
