id;content
1;Nhà thờ nằm ngay khu vực trung tâm, nhưng có sân rộng, được thiết kế thoáng, chăm chút sạch sẽ nên không khí rất dễ chịu.
1;Chùa rộng, nằm trên đồi cao, tách biệt khu dân cư, rất yên tĩnh, có thể đến đó vãn cảnh chùa, lễ Phật hoặc thư giãn, đọc sách.
0;Bãi biển Cha Am không phẳng, bãi cát không mịn, nhiều sỏi đá, nước không xanh, buổi chiều sóng to. Ở Cha Am buổi tối cũng không có gì như ở trung tâm Hua Hin.
0;"Ngay gần Rừng Quốc gia Ba Vì, không gian rất khoáng đạt. Tuy nhiên khu nhà nghỉ thì chưa tốt lắm. Dịch vụ chưa có gì."
1;"Bảo tàng được bài trí công phu, chia thành các chủ đề theo trường phái hoặc dòng lịch sử, có hướng dẫn khách đi từ đầu đến cuối theo thứ tự.
                  Đoàn của mình thuê một thiết bị ghi âm giới thiệu để đến hiện vật nào quan tâm có thể gõ mã số và nghe giới thiệu sơ lược."
1;Mình đã qua chợ mua một số quà cho bạn bè trước khi trở về. Các đồ kiểu 100% bản địa và giá khá bình dân.
1;Đầu năm tôi có đi Yên tử, lúc xuống có vào Thiền viện Trúc lâm, tôi thấy ở đây là nơi thờ tự như các chùa khác đồng thời có thêm khu vực để dạy học. Tôi thích phong cảnh và sự thanh tịnh nơi đây.
1;Đầu xuân những năm gần đây nhà tôi hay đi chơi về hướng Côn Sơn - Kiếp Bạc. Lúc về theo hướng qua Bắc Ninh đều thường ghé vào Đền Đô. Mỗi năm tôi đều thấy sự đổi thay ở khu vực đền, lúc làm mới con đường, hoặc xây thêm nơi thờ tự, tuy thêm mới nhưng quy hoạch vẫn rất tốt.
0;Tôi đã đến thánh địa Mỹ sơn, lúc đầu tôi hình dung phải là một nơi rộng lớn với nhiều lăng tẩm ... Khi đến nơi thì thấy không lớn như tôi nghĩ. Nhưng phải nói kiến trúc, xây dựng của người xưa rất sáng tạo.
1;Rất nên đi, cảm giác đi thuyền trên sông, vào hang động rất tuyệt. Ninh Bình đúng là điểm phải đi ở Miền Bắc.
1;Làng nằm cách trung tâm Hà Nội chưa tới 50km, có thể đạp xe đến và về trong ngày, thậm chí trong một buổi sáng.
0;Không gian chùa khá hẹp, chắc do nằm ngay khu vực trung tâm, phía ngoài tiếp giáp ngay phố nên hơi ồn ào, nhưng khi vào hẳn trong tam bảo thì rất yên tĩnh.
1;Nhà ga rất nhỏ nhưng cũng là duyên dáng nhất mà mình biết tới. Đúng là phong cách boutique, sạch sẽ và khác lạ.
0;Chợ đêm này bình thường, không có hoạt động hay hàng hóa gì đặc sắc cả. Có một dãy quán ăn bình dân, hàng hóa thì chắc có trộn nhiều đồ Trung Quốc. Kém so với chợ đêm Hua Hin và Cicada. Lúc ra về đợi xe cũng lâu hơn.
1;"Ga xe lửa nhỏ xinh, đẹp như trong truyện cổ tích. Một nơi nên tới để tham quan và chụp hình. Từ đây có thể đi bộ ra chợ."
1;"Không nên bỏ lỡ dịp tới thăm chợ đêm Cicada. Chợ rộng rãi, bán các đồ thủ công handmade của Thái Lan. Tới chợ vừa thăm quan, mua sắm, ăn các món truyền thống với giá cả rất hợp lý, dễ mua. Mình rất thích chợ này."
0;Trừ dịp có sự kiện thì cũng hay, còn ngày thường hầu như không có khách. Khu du lịch rộng, có nhiều làng dân tộc nhưng không có người sống ở đó nên nhà cửa đã cũ. Có hai công trình khá đẹp là Chùa Khmer và tháp Chăm.
1;Chùa rất cổ, chùa nằm trên đỉnh đồi, lên chùa phải leo dốc cao, qua mấy trăm bậc thang đá ong. Chùa rất đẹp, cổ kính, từ khung cảnh bên ngoài đến các bức tượng La Hán. Cách chùa khoảng trăm mét có chùa mới xây, cũng đẹp.
0;Theo mình nghĩ thì mọi người chủ yếu đến đây để mua đồ thôi còn chơi thì hầu như chả có gì nhiều. Chợ cũng không rộng lắm. Mình thấy mọi người đến đây hay tự làm gốm nữa nhưng vì mình không có thời gian nên không thử. Nói chung muốn mua đồ gốm đẹp thì đến đây còn nếu muốn đi chơi thì không nên, chỉ đi 1 lần cho biết thôi.
0;"Hôm tự thuê xe tuk-tuk đi chơi Angkor, buổi trưa hỏi bác tài chỗ nào ăn được thì được bác khuyến nghị và dẫn vào đây. Đến nơi thấy một dãy các nhà hàng, xung quanh đầy xe khách thì biết là chỗ này toàn dành cho đoàn tour. Nhà hàng trưa hôm đó cũng gần kín khách nên phục vụ chậm. Nhân viên thì mặt lạnh tanh, mình &amp;quot;thank you&amp;quot; khi gọi món mà cũng không thấy cười hay đáp lại gì. Gọi đồ thì cũng vậy, không đáp lại mà nghe xong là quay đi luôn. Đồ ăn thì cũng được nhưng đắt hơn mấy quán trong Siem Reap. Mình gọi món cơm rang mà hết 5-6 USD gì đó, đắt gần gấp 2 lần mình ăn ở Siem Reap. Hôm sau có bạn thổ dân ở đây dẫn đi thì mới biết mấy quán nướng gần Angkor, vừa rẻ hơn vừa ngon hơn."
1;"Ở Lotte này tôi mới trải nghiệm Sky walk vào một sáng chủ nhật, mùa đông, lên đây thấy vắng khách. Tôi đi cùng 1 trẻ em.  Giá vé 150k/người là ca; lên đây có điểm thú vị là view từ trên cao, cảm giác khá lạ và thường có nhu cầu chụp ảnh lưu giữ khoảnh khắc, tất nhiên chụp ảnh cũng sẽ phải trả thêm phí, còn chụp selfie thì nhiều khả năng là không được góc chụp như ý. "
1;Không khí trong lành, không gian yên tĩnh rất thoáng đãng  với biển xanh biếc bao quanh một hòn đảo cát nhỏ, chỉ có cây cối, biển, cát và bạn. Đảo Cô Tô con làm tôi liên tưởng tới bãi Sao - Phú Quốc.
1;"Leo lên hải đăng là nhìn ra bốn góc xung quanh hòn đảo Cô Tô, cũng không quá đặc biệt nhưng phóng tầm mắt ngắm được biển và núi. Đường lên hải đăng cũng thú vị vì dốc thoai thoải, có thể luyện thể lực bằng chạy bộ lên, hoặc có thể thuê xe máy cảm giác một chuyến &quot;phượt&quot; nho nhỏ."
1;Nhiều hiện vật có tính lịch sử. Có những hiện vật có giá trị về cả vật chất và tinh thần. Không gian bên trong bảo tàng được trang trí rất đẹp với 1 bức tranh về Lạc Long Quân, Âu Cơ cùng 100 người con bằng đá rất lớn ngay ở sảnh
0;"Có nhiều loại cún khác nhau, nhân viên thân thiện & nhanh nhẹn, một điểm trừ lớn mà k phải lỗi của quán là quá đông khách  =)))))"
1;Dạo quanh một vòng Hồ Gươm là cũng thấy một Hà nội xưa, Hà nội trong thơ văn. Quanh hồ là các đường phố, tòa nhà đã không thay đổi nhiều mấy chục năm qua. Mỗi lần đi dạo ở đây là mình thấy như trở về một Hà nội lúc còn bé. Nếu có thêm cái tàu điện leng keng nữa thì nhất. Khác nhiều nhất là đường phố đông người, xe máy, ô tô nhiều quá.
1;"Thực sự Coto là địa điểm mà khi về cho mình cảm giác rất nhớ biển, chắc chắn sẽ quay lại đây rất rất nhiều lần. Là người trẻ, mình khuyên các bạn nên đến đây ít nhất 1 lần &quot;VƯỢT SÓNG VƯỢT GIÓ &quot;để khám phá và trải nghiệm. Vì Bayo ko có phần viết chung về Coto mà chia thành các điểm tham quan nhỏ, tuy nhiên thiếu 1 vài điểm ở Coto lớn nên mình sẽ viết đánh giá hết trong bài này nhé, hi vọng sẽ giúp cho các bạn nhiều"
1;"Nhà thờ lớn đẹp, ở vị trí cũng rất đẹp. Kế bên nhà thờ là trung tâm trà chanh vỉa hè của teen Hà nội. Phố Nhà Thờ tuy không dài, nhưng là phố thuộc hàng đẹp nhất thủ đô. Gần đó là phố Lý Quốc Sư nhiều hàng ăn ngon, phố Hàng Trống, Hồ Gươm... toàn thuộc hàng &quot;phải đến&quot; của Hà nội :)"
1;Buổi tối quảng trường thoáng mát, rất đông người đi dạo. Lễ hạ cờ lúc 9h tối rất nghiêm trang, như xem duyệt binh.
1;Mùa hè mà ăn ở đây thì đúng là không có chỗ nào để chê luôn. Bàn ăn ngay cạnh hồ rất mát và thoáng, tuy nhiên khách khá đông nên sẽ có những hôm hết chỗ ngồi ngoài sân, phải ngồi trong nhà thì không thích lắm. Mình là người không thích ăn tôm nhưng phải công nhận là bánh tôm ở đây rất ngon. Đồ ăn giá hơi đắt, nhân viên cũng không có vẻ thân thiện lắm. Điểm trừ nữa là gửi xe ở đây mất tiền. Mình cũng không hiểu tại sao vì bãi gửi xe ngay cổng mình cứ nghĩ là của nhà hàng, vậy mà ăn xong ra lấy xe cũng mất thêm 5k.
1;"Bình Ba ngoài nước biển xanh như ngọc vây quanh cùng với những bờ cát trắng tinh hoang sơ thì con người và ẩm thực nơi đây cũng vô cùng tuyệt cho bạn khám phá. Và điều đặc biệt nhất mà tôi thích ở hòn đảo này là 1 hòn đảo rất &quot;VIỆT NAM&quot; vì không có bất cứ 1 du khách nước ngoài nào được cho phép lên đây :)."
0;Khu này rộng lắm, nhiều công trình nhưng vắng vẻ quá. Ưu điểm là ý tưởng lập một làng du lịch các dân tộc rất hay. Nhược điểm là chưa hoàn thiện thành một sản phẩm du lịch. Chưa có dịch vụ, nhà cửa không có người ở, vắng vẻ. Nếu có cộng đồng dân tộc sống ở đây thì sẽ rất tuyệt.
1;Thác Bạc nằm trên tuyến đường đến Thác Tình yêu. Nếu các bạn ít thời gian thì nên đến Thác Tình yêu trước bởi thác tình yêu đẹp hơn rất rất nhiều so với Thác Bạc. Nếu đến Thác Tình yêu rồi thì đến Thác Bạc cũng được, ko đến cũng được :). Ở Thác Bạc cũng mất vé vào, tuy nhiên mình đi hồi 2013 nên ko có nhớ giá vé, 2015 mình đi lại nhưng ko vào Thác Bạc.
1;"Đoạn đường Yaowarat ở trung tâm khu phố tàu (chỗ khách sạn Shanghai Mansion) phải có tới hàng trăm quầy hàng ăn đường phố mở từ chiều tối đến khuya. Món ăn chủ yếu là món Thái với món Trung Hoa. Rất đông đúc nhộn nhịp, người ngồi ăn bên lề đường mồ hôi nhễ nhại, khách du lịch châu Á đi lại nườm nượp. Không khí rất phố Tàu.
Xen lẫn các quầy hàng ăn là các cửa hàng đồ lưu niệm, các nhà hàng sang hơn chút, các quầy bán nước uống, quầy món ăn vặt. Có món nước ép quả lựu khá hay lần đầu tiên mình thấy.
Nên dành 1 buổi tối ra đây ăn uống đi dạo cho biết."
0;Bãi biển bình thường cát không đẹp, không mịn, nước cũng không trong lắm, buổi chiều có đoạn còn có rác bị sóng cuốn vào. Nói chung không có gì để khen về bãi biển cả.
1;Hồ Hoàn Kiếm vào mùa xuân, ngày nắng... quá đẹp. Mới được mấy tẩm ảnh, dạo một vòng tới đền Ngọc Sơn, Cầu Thê Húc đẹp quá không chụp được vì điện thoại hết pin :(
1;Bãi biển không thật đẹp nhưng tôi thích bầu không khí ở đây, người dân thân thiện nồng nhiệt (cảm nhận cá nhân)
1;Nhà thờ nằm trong thị trấn Sapa, khu vực trung tâm, nếu bạn ở trị trấn thì gần như đi đâu cũng đi qua đây. Vì là trung tâm nên lúc nào cũng sầm uất, đặc biệt là cuối tuần với các phiên chợ tình. Nếu bạn nào muốn thuê quần áo dân tộc chụp ảnh thì ở đây rất sẵn. Nhà thờ ko quá lớn, đi 1 lúc là bạn tham quan được hết, được cái chụp ảnh ở đây khá đẹp, cổ kính.
1;Giá vé khá phù hợp. Có nhiều trò chơi mới nên tạo ra sự phong phú hơn cho các lứa tuổi khác nhau.Phong cảnh sạch và đẹp :))))
1;Bar này trên tầng 9 khách sạn Caravelle, view được ra đường Nguyễn Huệ nhưng bị mấy chung cư đằng trước che lấp 1 phần. Đồ uống ngon, giá cũng cao. Ban nhạc chơi khá hay.
0;Có hồ nước, rừng thông xung quanh. Giống như các công viên tại Hà nội hay Sài gòn để đi bộ tập thể dục thôi, không có gì đặc sắc. Ảnh chụp đẹp hơn ở ngoài thật :)
0;Vườn hoa này cũng được, nhưng không hoành tráng lắm. Ông chủ đứng ra thu mỗi người 10 ngàn tiền phí vào xem. Chủ yếu là hoa lan, có cả nơi trồng dâu tây nhưng ở quy mô nhỏ... nói chung cũng bình thường. 
0;Quy mô của lăng khá nhỏ nhưng bù lại tạo cảm giác linh thiêng. Được đặt ở nơi du khách dễ dàng tìm thấy tuy nhiên có thể gây ùn tắc nếu số lượng người thắp hương quá đông
1;Tôi đã đến đây rất nhiều lần, và mỗi lần là mỗi trải nghiệm. Nhà hàng Cô Phượng tại Phong Nha thức ăn ngon trên cả tuyệt vời. Đơn giản mà thấm gia vị. Cô Chủ Quán luôn vui vẻ, thân thiện và vui tính. Nhân viên nhanh nhẹn và chu đáo. Nhà hàng nay đã mở thêm cở sở bên cạnh với sức chứa lên đến 600pax/lượt. Mỗi ngày trung bình lên tới 500pax. Ngày Lễ/tết lên đến cả Ngàn khách nhưng vẫn đảm bảo chu đáo và nhiệt tình. Khách đông nên có Nhà Hàng Hương Giang đối diện lập Web lấy tên Nhà hàng khiến các đoàn bị nhầm lẫn. Làm mất uy tín của Quán. Đến Phong Nha không ghé Cô Phượng là một điều đáng tiếc đấy bạn ạ!Hãy trải Nghiệm các món ngon của Nhà Hàng bạn nhé! Tôi vẫn sẽ mãi ủng hộ và giới thiệu mọi người tói Cô Phượng ( 0978.222.114 ).
1;"Núi Hàm Rồng nằm ngáy trong thị trấn Sapa, có thể đi bộ tới đây tham quan. Đây là 1 địa điểm đẹp và hùng vĩ, nhiều chỗ chơi, khám phá, tham quan. Khu vực Sân Mây nếu đi vào mùa hè, mùa thu ko có sương mù bạn có thể ngắm toàn bộ thung lũng Sapa ở độ cao khoảng 1,800m, rất tuyệt vời. Ngoài ra đường đi trong Hàm Rồng đến các điểm tham quan trồng rất nhiều hoa, quả được tạo cảnh đẹp. Vào núi Hàm Rông các bạn nhớ đến cả khu vực Cổng trời 1, cổng trời 2 để ngắm cảnh. Vé vào Hàm Rồng là 70k/ người lớn và 20k/ trẻ con. Đắt nhất trong các điểm tham quan nhưng rất xứng đáng đó các bạn :)"
1;Phong cảnh hoang sơ và rất đẹp. Nước suối rất trong và sạch. Thác nước đẹp. Cần lưu ý đá khá trơn dễ trượt và có chỗ nước sâu. Không nên đưa trẻ em dưới 5 tuổi đi cùng.
1;Được trùng tu sửa sang khá hoành tráng và đẹp. Khuôn viên rộng và sạch sẽ.
1;Nhà thờ được xây dựng chỉ từ đá và gỗ. Từng cột đá được chạm khắc những hoa văn vô cùng tinh tế. Nên đến và tận hưởng không khí cổ kính và vô cùng thanh bình ở nơi đây.
1;Nhà hàng đẹp ngay sát bờ biển, không gian thoáng mát, giá cả tương đối đắt so với các nhà hàng khác dọc bãi biển Mũi Né.
1;Chùa Bái Đính rất rộng với nhiều khuân viên khác nhau. Kiến trúc của chùa vô cùng độc đáo và hoành tráng. Trong chùa có rất nhiều pho tượng lớn nhất nhì Đông Nam Á. Từng hoa văn được chạm trổ vô cùng tinh tế và khéo léo. Tôi đã bị choáng ngợp khi lần đầu đến chùa Bái Đính.
1;Không khí vô cùng trang nghiêm và cổ kính. Bên cạnh đó, những hướng dẫn viên du lịch trong đền giải thích vô cùng tỉ mỉ về các điển tích ngày xưa của vua Lê Đại Hành và lịch sử của ngôi đền. Thực sự sau chuyến đi, tôi đã hiểu hơn về lịch sử Việt Nam.
1;Kiến trúc ngôi đền rất cổ. Hướng dẫn viên du lịch tỉ mỉ giới thiêu về cấu trúc ngôi đền cũng như các điển tích về vua Đinh Tiên Hoàng. Nên đến để hiểu thêm về lịch sử Việt Nam.
1;Đi tham quan Tuần Châu vào mùa hè là hợp lí nhất, có thể tắm biển, xem cá heo, ngắm cảnh, vào nhà ma. Ở Tuần Châu ấn tượng nhất là sự thoáng đãng, bờ biển đẹp, ngoài ra còn có các công trình kiến trúc nổi tiếng thế giới thu nhỏ.
1;Lăng Minh Mạng rất đẹp. Xa hơn 2 lăng Tự Đức và Lăng Khải Định nhưng theo mình thì đẹp không kém. Mỗi lăng một vẻ. Mình recommend các bạn thăm cả 3 lăng.
1;Nên đi chợ cá vào sáng sớm để có thể mua được đồ tươi ngon nhất. Đồ ở đây rất đa dạng từ tôm, cua, ghẹ, cá các loại.... Giá cả cũng tùy loại nhưng đều đúng với chất lượng. Vì rất đông khách nên sẽ hơi vất vả và phải tự sơ chế.
1;Hồ Tây trong lành, đường Thanh Niên một bên là Hồ Tây một bên là hồ Trúc Bạch là con đường lãng mạn nhất Hà nội
134;Trong số các hang động mình tham quan thì hang Sửng Sốt là đẹp nhất, hang rất rộng và đẹp. Hơn nữa, hang ở xa hơn các hang động khác nên lúc mình đến rất vắng và thoải mái, không bị chen lấn xô đẩy như ở hang Đầu Gỗ.
170;Angkor Night Market là khu có hồn nhất trong các khu chợ đêm ở Siem Reap. Open air chứ không có máy che. Lúc mình tới là tháng 8/2014 thì chưa hoàn thiện, bên ngoài các lối đi vẫn chưa lát gạch mà toàn sỏi. Bên trong cùng thì có khu quầy làm bằng vật liệu thô tre, nứa, lối đi bằng gỗ, có biển chỉ đường rất hay. Ở cuối chợ có khu quầy bar và vài quầy bán đồ ăn nhưng không ngon lắm. Nên ra mấy quán nướng ở cổng chợ ngon hơn.
145;Trong hành trình du lịch tâm linh Yên Tử - Chùa Ba Vàng - Cửa Ông - Chùa Cái Bầu đầu xuân Ất Mùi, tôi rất ấn tượng với Chùa Cái Bầu. Cảm nhận của tôi là chùa đẹp từ vị trí với thế trên cao lưng tựa núi - trước hướng biển đến kiến trúc tổng thể, không gian rất đẹp.
1;Chùa nằm ở vị trí khá đẹp, rất rộng rãi và thoáng đãng. Ấn tượng đầu tiên của mình là vẻ đẹp cổ xưa, không quá hoành tráng, nét đẹp rất bình dị. Đẹp nhất là những mái ngói thấp chạy dọc xung quanh chùa!
1;Đền rất rộng, kiến trúc đẹp và hoành tráng. Cây cối xung quanh được trồng rất nhiều và mát. Bên trong đền còn có dịch vụ xin chữ của các ông đồ. Đến đền Chu Văn An mà xin về học hành thì là nhất rồi. Dù học hành là chuyện của bản thân mỗi người nhưng mình tin cũng phải có một phần may mắn. Năm đó mình dâng hương và xin chữ ở đây và đã đỗ đại học ^^.
0;Chợ rất rộng và nhiều hàng. Tuy nhiên, đồ đạc ở mỗi hàng khá giống nhau. Mình thấy vẫn rất nhiều đồ Trung Quốc. Các mặt hàng không có gì đặc sắc cả.
0;Premium Outlet Pattaya ở tòa nhà Avenue, chủ yếu đồ thời trang. 7h tối dạo qua đây thấy quá vắng, nhân viên đông hơn khách. Giá cũng không mềm lắm nên không mua được gì
1;Carmen là quán bar mình rất thích, decor, không khí kiểu hơi mộc, vintage chút. Ban nhạc flamenco rất hay.
0;Lần đó đi thì mới chuẩn bị vào đầu mùa du lịch nên chưa thấy được nhiều thứ như mong đợi, nhưng đường đi lại khá thuận lợi nhưng do là lần đi đầu tiên nên bị mấy bác xe ôm chặt chém sợ quá. Nhưng lúc đi về từ bãi A thì dịch vụ xe rất chu đáo, lại còn giá cả hợp lí, nếu không nhầm là nhà xe Hải Hạnh (lúc đi từ Hà nội, xe đã xuống cấp mà phụ xe còn quát tháo khách nhặng lên). Bãi biển sạch, đẹp (nhưng chưa có cơ hội tắm). Điều ghét nhất ở đấy là có mấy người đi bán mực đểu, rồi chèo kéo các kiểu. Rồi còn có cả 1 chị ăn xin, người thì cao, to, khỏe mạnh mà cứ bám riết, không cho thì cũng phát ngại. Giá phòng thì rẻ ( chắc do chưa vào mùa) với khá đầy đủ tiện nghi. Đồ ăn thì mình thấy quá đắt mà chẳng ngon gì. Cái dịch vụ xe điện cũng quá đăt, nếu có thời gian thì tốt nhất tự đi bộ mấy chỗ gần gần (nên chuẩn bị và hỏi thăm trước). Nếu đến đây nhiều ngày thì hơi ít điểm để đi. Chỉ mong nếu lần sau có tới thì k gặp phải mấy cái người bán đồ rởm rồi bám riết thế kia nữa.
1;Diện tích đủ để đi dạo, số lượng gian hàng- dịch vụ đủ để trải nghiệm trong 1 ngày. Vào cửa thì miễn phí nhưng để dạo chơi thì cùng phải mang theo hơn 300k.  
1;Đi lại khá thuận tiện vì Thuận An cách trung tâm Huế hơn 10km, đường đẹp, có thể đi xe máy hoặc taxi. Dành thời gian 1/2 ngày ra đây tắm biển ăn một bữa hải sản là phù hợp. Bãi biển hơi dốc nhưng cũng ok. Dọc bờ biển có nhiều nhà hàng hải sản, vừa là chỗ tắm tráng nước ngọt, vừa đặt ăn luôn.
0;Phố đi bộ này không có gì đặc biệt, phố nhỏ, 2 bên là nhà hàng quán bar. Gần đó là mấy khu chợ đêm liên tiếp nhau... Nói chung buổi tối không làm gì thì ra đây ăn tối, rồi ngồi bar ngắm đường phố, ngắm người đi lại cũng được.
1;Chợ này có vẻ là chợ truyền thống, ngoài mặt hàng lưu niệm cũng có ở các chợ du lịch khác thì chợ này có nhiều quầy trái cây, bánh kẹo, thực phẩm... bên trong. Nếu bạn muốn tìm mua mấy thứ đó về làm quà thì ra đây là hợp lý. Chợ nằm gần Pub street và hình như khu bên trong (trung tâm chợ) chỉ mở ban ngày.
1;Bạn nào chưa đi thì nên đi một lần. Nghe ca huế trên thuyền, đi dọc sông Hương gió mát trăng thanh, ngắm cầu Trường Tiền đổi màu :) Bạn ra bến Tòa Khâm mua vé là xuống thuyền, đợi khách đầy thuyền rồi nhổ neo, cuối chuyến đi là cảm ơn các ca sĩ và thả đèn hoa đăng. Hoạt động du lịch mà, bạn nên trải nghiệm nhé.
0;Vợ chồng mình dự định đến Ngong Ping 360 để tham quan tượng Phật và một số điểm du lịch khác tại đó bằng cáp treo, nhưng tiếc quá, đúng hôm đi thì cáp treo lại có lịch bảo dưỡng, không hoạt động (đành phải đi xe bus, xếp hàng gần 1h đồng hồ để đợi xe và vì số lượng khách tham quan đông quá). Bạn đến Ngong Ping 360 thì nên đi cáp treo nhé!
1;Ngay dưới sau phía chợ có trạm thủy điên Cốc Ly. Nếu đi thuyền ngược lên sẽ khám phá nhiều làng bản tuyệt đẹp, hiện tại vẫn ít người thư tour này nhưng theo mình nghĩ là rất hay vì ngược lên 15km là đến động Thiên Long có thêm lựa chọn nữa để khám phá Bắc Hà
1;"Nếu bạn là tín đồ shopping thì một trong những trung tâm mua sắm tại Hong Kong không thể bỏ qua là trung tâm mua sắm Olympian City (chỉ mất khoảng 30-45 phút đi tàu điện ngầm từ Trung tâm). Trung tâm hội tụ rất nhiều các hãng thời trang và mỹ phẩm nổi tiếng thế giới như Nike, Adidas, Zara, H&amp;M, uniqlo, the body shop..., chị em phụ nữ đến đây là mê ngay!
Bên cạnh shopping, bạn cũng được thưởng thức nhiều món ăn ngon tại đây như dim sum (món ăn ưa thích của người Hong Kong), McDonald, và nhiều cửa hàng đồ ăn nhanh khác."
1;Hai vợ chồng mình cùng mẹ đã đến thăm cung điện Vimanmek trong tour du lịch Thailand dịp 30/04 năm ngoái. Ấn tượng của mình đầu tiên về cung điện là một tổng thể kiến trúc đẹp, có gì đó hơi cổ kính một chút. Cả đoàn được hướng dẫn viên dẫn đi thăm cung điện, được giải thích rất chi tiết về lịch sử của cung điện này. Đây quả thật là một điểm tham quan mà bạn không nên bỏ qua khi du lịch tại Bangkok.
1;"Tôi yêu Huế nhất vì cái cảm giác thanh bình và tĩnh lặng mỗi khi đến đây. Rõ ràng Huế vẫn rất đông người, thế nhưng cứ ngồi trên xích lô đi dạo quanh thành phố, hoặc ngồi quán cafe nào đó nhâm nhi, vẫn thấy cảm giác chả cần nói gì cả mà vẫn được trải lòng.
                  Các món ăn ở Huế cũng ngon.
                  Đồ mua sắm cũng nhiều, ai đi Huế cũng có thể mua quà mang về bằng hạt sen, trà thanh nhiệt, tôm chua, rồi thì may áo dài Huế...
                  Áo dài may ở đường Mai Thúc Loan, hãy chọn nhà may Hùng nhé - thời gian cực nhanh và áo may rất đẹp, rẻ. Lần nào đi Huế tôi cũng may :D Tôi chẳng có điểm nào không thích ở Huế :)"
