reviews	sentiment
Nhan vien khach san k co y thuc.noi chuyen voi khach hang giong nhu thach thuc ngta.khi co phong trong cung k cho khach nhan phong.dang ky tren boking cung bi coi doi su nua.thiet tinh la khach san nay.qua te.de nghi cho nhan vien di hoc lai cach giao tiep voi khach hang...	1
Khi check in vào phòng tôi phát hiện dọn phòng sử dụng lại drap giường cua khách trước đó mà không thay mới, còn cát va tóc trên giường du chúng tôi chưa hề sử dụng. Buffet sáng không ngon, chỉ cần sắp xếp set ăn sáng nhưng ăn được còn hơn là nhiều món nhưng chi co trứng chiên là ăn được.	1
Giá quá cao không xứng với giá 1tr, bảo vệ vòi tiền, phòng ốc bình thường ko đẹp, nói chung là ko hài lòng	1
ăn sáng	1
Tu lanh co nhung khong su dung duoc, bi hu.	1
Nhân viên phục vụ (tiếp tân) không tốtPhục vụ đồ ăn sáng không ngon	1
Ít ổ cắm. Bàn trang điểm kết hợp ban lv nên bị thấp rất khó để trang điểm. Nên sử lý vấn đề này	1
cach am cua phong ngu voi duong pho chua tot lam, gia ca muon phong khong thong nhat tu luc dat cho den ngay tra phong de tao hieu lam cho khach hang	1
Phòng không sạch sẽ và toàn mùi thuốc lá	1
Điều hoà kêu quá to khi chạy	1
nhận phòng không tốt giống như hình khi book rất là giận về vấn đề này.	1
Thông tin đặt phòng không rõ ràng dẫn đến nhầm lẫn.thuê phòng220k theo thông tin dc bao ăn sáng mà ko cho.phân biệt với kh vnthì ko dc ăn.còn nước ngoài thì dc.thưc ra ko đáng nhưng có hỏikhéo 2 lần mà ko dc.nhà nghỉ dơ ,ẩm thấp hôi	1
Không có gì để phàn nàn	1
Cơ sở vật chất hơi xuống cấp, cần đầu tư cải tạo tốt hơn.	1
Lối đi cầu thang hơi hẹp, máy lạnh tầng 4 hơi yếu	1
tat ca	1
Phòng không có quạt thông gió	1
khách sạn nên phân biệt được loại nước trong phòng với nước khách mua	1
nothing	1
Chỗ ăn sáng chật hẹp, nóng nực, chỉ có 2 cái bàn.	1
Thiếu dầu gội ở các phòng nghỉ	1
Buổi tối ồn vì có quán bar kế bên	1
nên có thêm máy sấy tóc	1
có một cô chủ khó chịu lúc em đi xem pháo hoa về muộn.	1
Mình ở 3 ngày 2 đêm,nhưng phải dùng lại khăn cũ của ngày hôm trước.Nói với nhân viên thì nhan viên hứa lên thay nhưng không thay. Không cung cấp đúng hóa đơn đúng cho mình. Ở 1 đêm gần 600k nhưng hóa đơn ghi 300kMáy lạnh cũ, tv cũ không xem được	1
Không có gì cả.	1
Ko có dịch vụ giặt ủi và máy sấy tóc.	1
có thêm máy sưởi vào mùa lạnh sẽ tốt hơn nữa	1
Mưa nhiều khiến kỳ nghỉ không mấy vui vẻ.Đồ ăn không được vệ sinh lắm.	1
View khong dep	1
Ga trải giường cần sạch sẽ hơn vì  nằm có cảm giác như bị rệp cắn. Wifi free nhưng chất lượng không ổn định cần nâng cấp lên.	1
ý thức	1
Ăn sáng quá tệGiá phòng không rẻ lắm	1
Phòng hơi có mùi	1
không có tủ lạnh như ở Vũng Tàu	1
Phòng cũ	1
Không có tủ đựng quần áo, dịch vụ chưa tốt	1
Nhân viên phục vụ bữa sáng dùng tay bốc thức ăn cho vô miệng ngay trước mặt khách! Phòng bị mất điện 10h nhưng ks  k có c.sách chăm sóc khách! SO BAD BAD BAD!!!!!!!!!👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿- 👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿	1
Chưa đủ tiêu chuẩn 4 sao	1
Phòng hơi bé	1
Thai do nhan vien phuc vu khong tot.	1
Giường hơi cứng khó ngủ	1
Mùi của phòng	1
Tôi đã không thể gọi được phục vụ phòng khi muốn lấy thêm khăn và dầu tắm mặc dù đã thử gọi nhiều lần, nút điện thoại at your service luôn bị bận nhưng chúng tôi thông cảm cho khách sạn vì thời gian cao điểm	1
Không	1
Chỗ ngồi chờ cho bạn bè ở ngoài sảnh các phòng ko tiện nghi	1
Thái độ phục vụ	1
Nhân viên thiếu kinh nghiệm, phòng nhỏ và không thực sự sạch sẽ	1
"1, moi vua checkin da gap 1. bellman qua vo le, da khach Len phong ko them ngon mat khach, con dua Minh vao vali va tuong cua cau thang may thai do chan nan. Vao den phong thi chi Von ven co moi cau ""trong tu Lanh co do uong"" roi Buoc raKhi co viec goi Len phong thi bam Chuong rat Lon lam khong chi moi em be ma Ngay chinh ban than con giat ban ca nguoi, bao anh ta nhe nhang thi bi chuoi nhu tat nuoc vo mat, Thai do vo Cung vo le voi khach. That ko the hieu noi mot ks 3 Sao lai co nhung nv cho troi xem thuong khach nhu vay.2,don phong het quen dau goi sua tam, roi den ca khan tam dang tam phai chay ra goi dien nho mang len (＞人＜;)3, checkout, lam xong thu tuc thanh toan xong nhan vien le tan ko mot tieng cam on hay hen gap lai, that vo Cung bat man, tu hua voi long se ko bao gio quay lai nua"	1
Tệ	1
Không có garage để xe, phải gửi xe ở bãi xe xa khách sạn. Khách sạn nằm trong hẻm nhỏ. Phòng nhỏ. Thang máy chỉ đi đc 2-3 người.	1
Phòng nhỏ, nên toilet ngay gần giường, bị mùi toilet nếu không đóng kín cửa	1
"Thang máy hơi nhỏ, vì vậy rất ""thân thiện"" :)"	1
Chỉ có 1 điểm trừ về bữa sáng là hơi đơn điệu, mặc dù ks có cho khách sự lựa chọn n đồ ăn sáng thực sự ko phong phú.	1
Bữa sáng không ấn tượng. Diện tích phòng rất nhỏ.	1
Do khách sạn ở trong hẻm ô tô không vào được nên mỗi khi đi hay đến gặp trời mưa thi hơi bất tiện một chút , khách sạn nên chuẩn bị một số ô(dù) cho khách mượn khi gặp trời mưa.	1
Do khach san o trong mot con hem nho o to khong vao duoc nen khi den hay di ma gap mua thi hoi bi bat tien , khach san nen chuan bi mot so o(du) cho khach muon khi gap troi mua.	1
không	1
Đặt phòng xong nhưng đến nơi không có phòng. Phải qua khách sạn khác	1
Rat tiec la ks khong con phuc vu an sang,nhung voi su doi hoi cua khach ho cung vui long phuc vu.	1
Vì ngày gia đình tôi ở KS là Valentine's nên tôi thấy KS nên có món quà nhỏ hoặc chương trình dành riêng cho các cặp đôi nhân dịp này.	1
Không có	1
- Giá phòng hơi đắt chút so với chất lượng. Đề nghị chủ villa cân nhắc chút về giá thành- Villa không phục vụ nhiều đồ ăn và đô uống do vậy bạn nên đi siêu thị mua sắm đồ thì tốt hơn- Thời gian chúng tôi đến nghỉ thì vườn đang được sửa chữa. Hy vọng lần tới quay lại kh vườn sẽ còn đẹp hơn nữa	1
Trong phòng không có giấy hộp	1
Co su thieu thon ve xa bong va remote cho may lanh. Khach phai len xuong nhieu lan de hoi va lam cho may chay. Co mot lan nhan vien giao lon chia khoa khi khach ve phong (rat quan trong). Chuyen nho nhung neu tranh duoc thi rat tot.	1
Phòng nhiều bụi, nội thất hư hỏng nhiều	1
Phòng hơi nóng, quạt hơi nhỏ, máy lạnh cũ kĩ dính nhiều bụi.	1
Tôi đặt phòng có một giường đôi và một giường đơn cho hai người lớn, có gọi điện xác nhận ở 2 người lớn được không, nhân viên kêu được. Sau khi trả phòng, nhân viên charge thêm phí 110k với lý do là giường đôi cho 2 trẻ nhỏ chứ không phải cho một người lớn.	1
Tiện nghi quá cũ và tệ , giá phòng cao	1
Lễ tân ko nhiệt tình.Phòng dành cho 2 ng mà có 1 đôi dép,  1 cốc uống nước. Không có thứ gì sẵn trong tủ lạnh.Bên ngoài bàn uống nước trong phòng  cũng không có nước suối hay trà,cafe gói.	1
Trải nghiệm tệ hại nhất trong cả chuyến đi. Phòng bẩn, thái độ phục vụ rất thiếu tôn trọng. Ngoài ra còn không có khăn tắm hay vật dụng gì. Mình thật sự cảm thấy bị xúc phạm.	1
Phong hoi nho va bi trong khi ks van con rat nhieu phong trong, co le voi gia 15 usd chi dc phong nhu vay. Tuy nhien trong truong hop ks con trong nhieu phong thi nen bo tri mot cho tot hon cho khach.	1
Tivi ko rõ net	1
Phòng chưa được sách se	1
nhân viên không thân thiện	1
Nhân viên phục vụ ko nhiệt tình. Phòng như nhà thổ.	1
phòng quá chật chội, không thoáng, wc bẩn, không có chỗ để xe, phí gửi xe xung quanh khu vực đó rất đắt (50k/đêm)	1
phòng quá hẹp và không có ô thoáng.	1
Giá tiền so với phòng và cơ sở vật chất là quá đắt, phòng cực bẩn, bí, mất vệ sinh.	1
phòng quá bé	1
Lễ tân đòi hỏi khách phải trả phí cho nhà nghỉ thanh toán bằng thẻ visa.	1
cầu thang lên hơi dài :)	1
có 1 nhân viên nam có hành vi ko đúng mực với bạn gái mình.wc hơi có mùi 1 chút	1
Không có thang máy. Các bạn cần chuẩn bị 1 số vật dụng cá nhân: bàn chải, dầu gội..	1
Phòng nhỏ, minibar cũng không có gì, trong phố Tây nên ồn ào.	1
Bữa sáng quá chán	1
Phòng hơi nhỏ	1
Phong qua Nho.	1
Nội thất phòng ăn hơi đơn giản	1
Các bạn check in hơi khó chịu với khách.	1
Phong khong duoc khang trang	1
Nứơc trong bồn tắm xuống chậm.Chưa chuẩn bị bữa sáng tốt, thức ăn ko ngon, ko đang dạng và phong phú	1
Bể bơi hơi nhỏ	1
Nhan vien tiep tan khong than thien, cung 1 he thong The White nhung khong bang TW 1. Khong gian qua nho, book phong co cua so huong ra mat tien nhung khi o, phong k giong, hoi tiep tan thi noi la phong minh book da het, doi sang phong tien nghi hon, minh nghi la k fai, phong tien nghi hon ma nvay cang te. Cua so ban dem bi gio lua, dap ram ram, nhu co ai o ngoai go, nem thi cu, lo xo keu cot ket k ngu dc. An sang thi cang te,thuc an kho khan, k co mon nuoc nong, co 2 ban an, moi nhom 1 ban la het cho. Vc minh fai ra ngoai an sang. Noi chung so tien minh bo ra khong xung dang. Nhin xung quanh toi hu toi mo, am u, nhu ks ma. Qua te. Co the goi do la nha nghi thi dung hon...	1
Phòng thì nhỏ. Tiện nghi không có. Máy lạnh nóng cực kì.	1
trong quang cáo dat phong hotel co bua an sáng!nhung tren thuc té khong co!!!tat nhien la khách nhan lai tien an sang tra lai(do doi lai).Vay quang cáo the nao fai thuc hien dung....	1
khóa cửa cũ ùi.	1
Nhan vien phuc vu khong chuyen nghiep , thieu chuyen mon va khong dat tieu chuan (vidu,nhan vien tiep tan da dua chung toi vao phong khong dung nhu phong toi da mua, da charge tien khach san chung toi 2 lan: 1 lan khi toi book phong va rou 1 lan nua khi toi checkout voi ly do la vi chua nhan duoc tien... ket qua khi toi kiem tra ngan hang moi vo le da bi charge den 2 lan ..that khong the hieu noi!) .Thuc an kha ngheo nan, thieu tien nghi, phong tam va giuong ngu khong thoai mai.	1
Bua sang ngheo nan	1
Có nhiều tiếng ồn từ máy lạnh, thảm trải sàn hành lang cũ.	1
Lần đầu tiên đi đến khách sạn, mà có thể nói thái độ phục vụ tệ đến như vậy.	1
Một số tiện nghi cũ, điều hoà ồn, khó chỉnh nhiệt độ.	1
Khong tgich	1
Không có	1
Bua sang don dieu, phong cu	1
Có lẽ do mình không may mắn nên mới đầu nhận phòng thì có phòng bị nghẽn máy lạnh và tràn nước ngược vào phòng, còn lại thì ok lắm	1
Có kính ngay giường làm mình và bạn gái hơi ngại 1 tí	1
- Nothing.	1
Bi bù mat canBi mât 2 doi depRa giuong có muiphong chi có 1 o cam dien	1
Ở ks 4 ngày nhưng không dọn phòng lần nào	1
Thang máy hơi có chút trục trặc, ăn sáng không có nhiều để lựa chọn	1
K có gì	1
do sát đường nên hơi ồn, vòi rửa mặt bị hư hỏng, khăn tắm quá cũ, khăn lau chân không thay mỗi ngày nên tạo cảm giác không sạch sẽ	1
Khach san thi ok nhung nhan vien lam viec rat cham chap nhat la viec gui xe vi ks ko co bai gui xe nen muon gui xe phai di hoi xa ma bao ve thi lai rat cham chap ( bao ve chung 20 may tuoi thoi ) mat toi 30' moi gui xong xe	1
không có gì	1
_ Wifi chập chờn gần như ko sử dụng được	1
Wifi ở đây chập chờn, lúc mạnh lúc yếu, nhưng nói chung vẫn chấp nhận được	1
Wifi thỉnh thoảng không tốt, một số phòng có cửa sổ hơi nhỏ.	1
Guest house này không có một bộ phận maintenance, house keeping biết việc, như là vòi xịt rửa bị hỏng (Không dùng được) từ lúc nhận phòng cho tới lúc trả phòng. Máy tính thì không available cho khách dùng và muốn charge thêm tiền để sử dung.Đặc biệt ban đêm phòng (402) vọng lại tiếng máy sưởi (Maybe?) nghe rất khó chịu.	1
Phòng không có bình đun nước sôi	1
Không có chỗ đậu xe ôtô	1
Không rõ ràng trong việc tính tiên giặtBáo giặt cân nhưng lại đi giặt bộ	1
KHONG	1
Phòng cách âm không được tốt lắm nên hơi ồn. Giường ngủ không được thoải mái.	1
k có gì	1
Khach san ko phuc vu nuoc uong hang ngay, phong hoi ngop khong duoc thoang lam	1
Buồn vì không được đi hái dâu :)	1
thái độ phục vụ hời hợtphòng thiếu không gian ( không có cửa sổ)không tiện nghigiá thành đắtmáy sấy tóc hỏng	1
nhân viên ko nhiệt tình lắm, tiện ích trong phòng ko có gì nhiều, so với giá tiền thì hơi cao	1
Khăn, chăn màn quá cũ kỷ, hôi.	1
không có chỗ để xe oto	1
nếu có phục vụ ăn sáng thì sẽ tốt hơn	1
1. Wifi kém.2. Tôi ở khách sạn này nhiều lần, có khoảng 3 lần cứ đến gần sáng là có một nhóm thanh niên nhiều người, gồm cả nam và nữ thuê phòng mở nhạc sàn ầm ỉ (như dùng thuốc lắc), liên tục mở cửa phòng đi ra đi vào, làm tôi không ngủ được. Việc này xả ra cho đến sáng mới ngừng lại, gây cảm giác rất khó chịu, mất ngủ và thiếu an toàn.	1
Phòng không giống như miêu tả trong ảnh.	1
Nệm cứng.	1
Giường nệm cứng,ko có chổ đậu xe hơi,phải đi đậu chổ khách sạn khác gần đó,1 đêm 30k,bọn mình cũng ok.nhưng đến lúc tính tiền thì ông xã mình đi lấy xe bên khách sạn kia thì bên đó đã tính 30k tiền xe,bên này mình đứng tính tiền chị chủ cũng tính thêm mình 30k,mình có kiu 2 chai nước suối thì tính 20k/chai.tiền phòng thì 15usd x tỷ giá 22.500 = 337.500 + 2 nước suối 40k nữa là 377.500+ tiền giữ xe 30k = 407.000.mình trả tiền rồi đi ra mới biết ox mình trả tiền giữ xe bên kia rồi.nên vô lấy lại,cả tiền nước suối.chị ấy bảo tính nhầm nên trả lại 50k.dù ko là bao nhiêu tiền nhưng rõ ko thích cách làm ăn ở đây chút nào.Rất thích Vũng tàu nhưng mình và gđ k bao giờ quay lại ks này.	1
Giường nệm cứng nên nằm không thoải mái cho lắm, mình ở 2 ngày, nhưng không ai dọn phòng trong ngày cả, khăn hk đc thay (chắc do hk dọn phòng nên hk thay cả khăn) Bộ ly tách trên bàn chắc do hk ai sử dụng lâu ngày nên rất nhiều bụi bẩn.	1
Niệm hơi cứng.	1
khong co tu quan ao, khong co tu lanh	1
Khong	1
Cửa nhà tắm bị hỏng, máy nước nóng hoạt động k tốt	1
Giuong qua cung. That su ko ngu duoc.Khong co tu lanh la mot dieu bat tien.	1
Phòng không có tủ lạnh	1
Nệm hơi cứng, không có tủ lạnh mini	1
Không có thảm chùi chân tại lối vào và toilet, phòng đôi tuy nhiên chỉ có 1 khăn tắm, giường nằm cứng.	1
Địa chỉ khó tìm	1
Hơi xa biển	1
Không có	1
Tốt	1
Giường hơi bé,có em bé sợ rơi xuống đất	1
Nhà nghĩ khó tìm. nệm giường quá cứng	1
Ko có mini bar	1
Khá xa biển nếu đi bộ	1
- Khăn tắm có nhiều vết ố cũ, áo gối cũng vậy (nhưng có thể yêu cầu đổi cái mới khá hơn tuy nhiên vẫn có vết ố)- Rìa gạch lốt bồn tắm đã cũ có mấy chỗ có vết đen làm CẢM GIÁC không được sạch.  - Đồ ăn sáng ăn khá ổn nhưng ko đa dạng	1
Bồn tắm thoát nước quá chậm	1
khăn và đồ dùng ,bồn tắm chưa được sạch	1
Nội thất cần đổi mới. Mùi hôi ống nước	1
khong nhu quang cao	1
Không có chổ nào là không thích	1
Thiếu lược và dao cạo râu trong phòng nên ông xã mình hơi không vừa lòng.	1
Mot vai yeu cau rieng thuc hien chua dung.	1
Không hiểu sao lại charge phí khi thanh toán qua thẻ?!	1
ăN sáng quá tệ	1
Ban ngay hoi on	1
bua sang can noi ro cho khach hom nay  co nhung mon nong gi khach san se phuc vu	1
Thái độ phục vụ kém, thậm chí lừa khách của những người buôn bán cây, hoa,...	1
Khong co dien thoai  ban de goi le tan khi can thiet.	1
Không có điều hòa không khí tại khu vực sinh hoạt chung (phòng khách và bếp) nên khá bất tiện cho các sinh hoạt chung của gia đình.	1
Hồ bơi hơi nhỏ, ít cây xanh.	1
Thiên vị người nước ngoài hơn người việt nam	1
Chăm sóc khách nước ngoài hơn là khách Việt	1
Kém đánh răng chưa đẳng cấp.	1
Nuoc phong tam yeu	1
Bữa sáng kiểu tây, nên khẩu vị có lẽ không hợp với mình lắm, tuy nhiên có thể chọn phở hoặc bún bò huế thay thế (không ngon bằng sài gòn)	1
xa trung tam, khu vang	1
phòng có muỗi	1
Gối nằm ko được thoải mái	1
Đường đi vào khách sạn khá xa mà khách sạn lại ko cho thuê xe máy. Phòng có điều hòa hơi yếu, nhưng vì có quạt phụ trợ nên cũng đỡ. Wifi có tín hiệu nhưng ko bắt được.	1
Ks không có bãi biển riêng, phải đi khá xa để có thể tắm biển	1
Bãi biển khá xa.	1
Neu co the khach san nen mo them dich vu nha hang de phuc vu bua trua va toi cho khach cung rat hay.	1
Đặt phòng trên bôking.com. Đã nhận được email xác nhận, khách cũng đã gọi điện đến ks để hỏi trước thì nói là đã đặt trên booking và có xác nhận là ok rồi nhưng Lúc đến nhận phòng nhân viên ko biết có việc đặt phòng. Đặt phòng ở 1 địa chỉ mà đề nghị khách ở 1 chỗ khác. Thái độ làm việc ko thể chấp nhận được	1
Tiện nghi, phòng ngủ kém.	1
Không có thang máy	1
Có thể bổ sung thêm vài món vào thực đơn sáng để có thêm lựa chọn.	1
Ăn sáng là lựa món chứ không phải buffe như hình - sau 9h là ko đc ăn nữa	1
Bãi  giữ xe nhỏ. K có thang máy	1
nhân viên không tiếp khách khi vào, để khách tự làm mọi thứ trog khách sạn. không hướng dẫn tận tình. không giải quyết vấn đề khi khách thắc mắc.	1
Nếu có đi xe ô tô thì đỗ xe hơi bất tiện 1 tí	1
Phòng quá nhỏ. Tệ. 	1
Phòng hơi nhỏ	1
Hơi xa chợ	1
Dụng cụ trong phòng vệ sinh chưa được thoải mái, khăn tắm chưa được tốt. Nên phục vụ ăn sáng.	1
Chưa nghĩ ra.	1
wifi yếu, không load được cái gì cả	1
Không có xe máy cho thuêWifi chập chờnPhòng chật, tiện nghi đáp ứng nhu cầu tối thiểu	1
đêm đầu tiên điện đóm chán quá, lúc mất lúc có nên phải chạy máy phát	1
Trong phòng không kết nối được wifi, phòng có mùi ẩm mốc. Chăn chiếu có mùi. Chúng tôi đã yêu cầu chuyển qua phòng khác và ks đã chuyển chúng tôi qua 1 ks khác ổn hơn.	1
Không có chỗ đỗ xe	1
Giao thông tại trung tâm hay bị ùn tắc	1
đồ ăn sáng ko được ngon lắm. Phục vụ hơi chậm	1
Không có thang máyGiá thuê xe máy không hợp lý	1
Wifi và ăn sáng kém	1
Không có nhiều phòng để lựa chọn	1
dich vu ve sinh va thong thoang kem	1
Một số nhân viên lễ tân không chu đáo, thanh toán bằng thẻ tín dụng bị thu phí 5%, lúc đặt phòng giá 800k nhưng khi thanh toán thành 1.070k.	1
Điều hoà lởm nên phòng 701 rất nóng	1
Phòng không có cửa sổ.	1
Không được sạch, chăn ga có rệp	1
Ăn gì cũng bị chém.	1
Bị móc ví trong ba lô khi đi thang máy tại bệnh viện Bạch Mai.Có thanh niên xấu bám theo khi đi dạo hồ gươm khoảng 7 giờ tối.Con người Hà Nội không thân thiện.Tắc đường	1
Phòng ở tầng 6 không có thang máy nên rất mệt khi leo lên. Khi có yêu cầu đổi phòng thì nhân viên lấy lí do phòng to, phòng nhỏ.. để cho người bạn của tôi nghe thấy nản không đổi phòng nữa.Khi cô ấy sang bên phòng tôi ở khu có cầu thang máy. Cô ấy đã rất ngạc nhiên là vi hoàn toàn có thể ở được trong phòng như vậy.	1
Các món ăn sáng không hợp khẩu vị.	1
khong co cau thang may len tang. Bua sang khong ngon. Ban chai danh rang thieu. Phong cu. Cau thang len phong chua duoc sach se.	1
phòng tắm hơi chật	1
Phòng có ban công nhưng rất tiếc cửa bị khóa kín nên bí khi không dùng máy lạnh	1
